"","gene_ID","CSDE1_vs_IgG_log2FoldChange","CSDE1_vs_IgG_pvalue","CSDE1_vs_IgG_padj","CSDE1_vs_Capture_log2FoldChange","CSDE1_vs_Capture_pvalue","CSDE1_vs_Capture_padj","GENE_NAME"
"2500","ENSMUSG00000020907.1",0.440776875213478,0.760430735238669,0.833296445597183,-1.0824041142273,0.406318668831538,0.528234439899281,"Rcvrn"
"2501","ENSMUSG00000020910.16",0.48501761382369,0.322316464260048,0.439766703097291,-0.750657787511057,0.106633529183724,0.188692181578146,"Adprm"
"2502","ENSMUSG00000020911.14",-1.22149441812386,0.347355512533,0.465513610731544,0.882637352571452,0.495063326925014,0.611474256110319,"Krt19"
"2503","ENSMUSG00000020912.4",-2.1826928895423,0.111840280240882,0.192331708947078,-1.46461151278445,0.280729233010501,0.401195406223195,"Krt12"
"2504","ENSMUSG00000020914.17",-0.140596669407987,0.596082591051643,0.699251804155705,0.3273881983355,0.20836713387465,0.319834739863525,"Top2a"
"2505","ENSMUSG00000020917.17",0.884445312985703,4.27090779414936e-06,2.45667655106201e-05,1.3937608701623,2.7773238386564e-13,5.22193852412812e-12,"Acly"
"2506","ENSMUSG00000020918.14",1.6525046208046,1.24067351690327e-10,1.47784450369531e-09,1.38375730678955,4.47996486522934e-08,3.78289801517201e-07,"Kat2a"
"2507","ENSMUSG00000020919.11",0.125125253771113,0.71081639217577,0.794408711904299,1.12277423331363,0.000761438035376902,0.00279397159017801,"Stat5b"
"2508","ENSMUSG00000020921.6",-0.383628877281473,0.0231644415584181,0.052295672403375,0.407169058781186,0.0138293936612908,0.0351330993069267,"Tmem101"
"2509","ENSMUSG00000020922.11",-0.259532004762413,0.232853076519112,0.342616790974264,-1.13017638046172,8.49822746755494e-08,6.82389425909843e-07,"Lsm12"
"2510","ENSMUSG00000020923.17",0.0484661514549256,0.854491668338218,0.904573846144941,1.43843050006229,4.88849443438109e-08,4.0976625501177e-07,"Ubtf"
"2511","ENSMUSG00000020925.16",-1.13400359863137,0.0129171169910628,0.0319477318780577,-0.932083542444211,0.0385305071934321,0.0827485072481254,"Ccdc43"
"2512","ENSMUSG00000020926.16",0.0745308418299057,0.749137429371593,0.824716992267598,-0.00370862821546538,0.987215831172879,0.991434240005545,"Adam11"
"2513","ENSMUSG00000020928.14",0.81353047351294,0.391964390805393,0.5109137665134,-0.133584116900475,0.883007080626839,0.919836674738675,"Higd1b"
"2514","ENSMUSG00000020929.14",0.405927530036034,0.147470313723361,0.239198475881135,0.0869494728800435,0.754689501803922,0.82429503974437,"Eftud2"
"2515","ENSMUSG00000020930.9",0.95555810407689,0.440169963722588,0.556649818912975,-0.766446544202351,0.487140363903605,0.604580404243511,"Ccdc103"
"2516","ENSMUSG00000020932.14",-1.52482555658196,0.000166397108454853,0.000689042645627823,0.688563360321365,0.0882473615980915,0.16232697499661,"Gfap"
"2517","ENSMUSG00000020935.8",0.779869141595129,0.00265631356709195,0.00808761672677787,0.406099247612186,0.109579796358928,0.192877275741897,"Dcakd"
"2518","ENSMUSG00000020936.8",0.259362765906824,0.260508256573343,0.374442320801515,0.365987756447433,0.104101712268987,0.185047279095808,"Nmt1"
"2519","ENSMUSG00000020937.14",0.166817630843152,0.663091524123801,0.755581415976972,0.823441369612554,0.0280176367388195,0.0634254527903233,"Plcd3"
"2520","ENSMUSG00000020940.13",-1.91100457900173,0.0113485968902806,0.0285302356270742,-0.163430857953193,0.826277562660597,0.878563904570157,"1700023F06Rik"
"2521","ENSMUSG00000020941.7",-0.948640804599189,0.000316329813097698,0.00122315084026724,0.00444802860454697,0.98565228528824,0.990510331105639,"Map3k14"
"2522","ENSMUSG00000020946.13",-0.141452909419215,0.44690726628406,0.563188561594789,-0.159484156407209,0.385108318920798,0.507046259045803,"Gosr2"
"2523","ENSMUSG00000020948.9",0.246847160838332,0.163806999559562,0.260149867099184,-0.143513632736473,0.393767191843481,0.515610011491049,"Klhl28"
"2524","ENSMUSG00000020949.9",-1.27225635323894,6.16051694341493e-09,5.63827242170157e-08,-1.68982324380688,1.38721309211815e-15,3.40433606488754e-14,"Fkbp3"
