target_id	gene
XR_378283.3	1700010L04Rik
XR_378287.2	1700010L04Rik
XR_378288.2	1700010L04Rik
XR_378289.2	1700010L04Rik
XR_001778197.1	1700010L04Rik
XR_378290.2	1700010L04Rik
XR_378291.3	1700010L04Rik
NR_045616.1	1700011B04Rik
NR_126462.1	1700011C11Rik
XM_017318003.1	1700011I03Rik
NM_029290.1	1700011I03Rik
NM_001311063.1	1700011I03Rik
NR_073044.1	1700011M02Rik
NM_029587.2	1700012A03Rik
NM_027038.1	1700012B07Rik
NM_001162428.1	1700012B07Rik
XM_006534114.3	1700012B07Rik
NR_131049.1	1700012C14Rik
NR_045171.1	1700012D01Rik
NR_015573.2	1700012D14Rik
NR_126464.1	1700012D16Rik
NR_130164.1	1700012H19Rik
NR_045140.1	1700012I11Rik
XR_868793.1	1700012J15Rik
NM_001177502.1	1700013D24Rik
NM_027063.2	1700013G24Rik
NM_001200013.1	1700013H16Rik
XM_006535361.3	1700013H16Rik
XR_381900.3	1700013N06Rik
XR_873594.1	1700015C15Rik
XR_001780984.1	1700015C15Rik
XR_001780985.1	1700015C15Rik
NM_001195601.1	1700015G11Rik
XR_001778669.1	1700016A09Rik
XR_880590.1	1700016B01Rik
XR_001784934.1	1700016C19Rik
XR_001784935.1	1700016C19Rik
XR_001784936.1	1700016C19Rik
XR_880601.2	1700016C19Rik
XR_001784937.1	1700016C19Rik
XR_001784938.1	1700016C19Rik
XR_001784939.1	1700016C19Rik
XR_001784940.1	1700016C19Rik
XR_880605.2	1700016C19Rik
NM_024271.1	1700016D06Rik
NR_045891.1	1700016G22Rik
XR_380261.1	1700016J18Rik
XR_871595.1	1700016J18Rik
XR_380262.2	1700016J18Rik
XR_871596.2	1700016J18Rik
NR_045824.1	1700016L04Rik
NR_040460.1	1700016L21Rik
NR_038149.1	1700016P04Rik
NM_027058.1	1700017D01Rik
XM_011247333.1	1700017D01Rik
XM_006527323.3	1700017D01Rik
XM_011247334.1	1700017D01Rik
XM_006527325.3	1700017D01Rik
NR_040445.1	1700017G19Rik
NR_040326.1	1700017J07Rik
NR_131050.1	1700017L05Rik
XR_880766.1	1700017M07Rik
NR_029439.1	1700018A04Rik
XR_378049.3	1700018A23Rik
NR_003617.1	1700018B24Rik
NR_045422.1	1700018G05Rik
NR_028360.1	1700018L02Rik
NM_027070.1	1700019A02Rik
XM_006496253.2	1700019A02Rik
XR_373261.1	1700019A02Rik
XR_865288.1	1700019A02Rik
XM_006496255.2	1700019A02Rik
XM_011238589.2	1700019A02Rik
NR_045442.1	1700019B21Rik
NR_045443.1	1700019B21Rik
NR_126478.1	1700019C18Rik
NR_040497.1	1700019E08Rik
XR_868479.1	1700019F05Rik
NR_040255.1	1700019G24Rik
XR_379144.2	1700019J19Rik
XR_870547.1	1700019J19Rik
XR_870546.1	1700019J19Rik
XR_379146.2	1700019J19Rik
XR_379145.2	1700019J19Rik
XR_001778779.1	1700019L22Rik
XR_001778780.1	1700019L22Rik
NR_138576.1	1700019P21Rik
NM_023781.5	1700020D05Rik
XR_381365.3	1700020D12Rik
XR_381366.3	1700020D12Rik
NR_126545.1	1700020D14Rik
NR_045979.1	1700020G17Rik
NR_027832.1	1700020I14Rik
NR_015473.1	1700020I14Rik
NR_040742.1	1700020M21Rik
NR_027968.1	1700020N01Rik
NM_029316.1	1700020N15Rik/Gm6812
NM_001098842.2	1700020N15Rik/Gm6812
NR_026924.1	1700020N18Rik
XR_389438.2	1700021F02Rik
XR_868107.2	1700021L23Rik
XR_868108.2	1700021L23Rik
XR_868110.2	1700021L23Rik
XR_376631.3	1700021L23Rik
XR_868111.1	1700021L23Rik
