"","Csde1","Csde2","Csde3","IgG1","IgG2","IgG3","Input1","Input2","Input3"
"Gm32009",0,0.496324952595811,0,0,12.3995066538291,0,0.980342662494926,2.05607283877581,0.479934711214789
"Gm32010",19.415462466719,11.0989803016989,8.93766332993044,0,75.9143770653367,33.5213151507407,42.2343495124263,47.7427332357328,36.811262395646
"Gm32011",0,0,0,0,0,0,0,0,0
"Gm32013",38.402024147857,20.0221518374829,26.9389490837905,29.5648420359992,35.1020212180223,73.4432337704632,63.5154789101647,67.2179067073591,62.1185776046677
"Gm32014",2.70606636168774,1.85597789505313,0,0,15.9422228406374,0,1.91610328179573,3.52455808663085,2.81726280827021
"Gm32016",0,0,0,0,0,0,0.479025820448934,0,0.939087602756736
"Gm32017",1.35169532575216,0.631313985165915,0,0,0,0,0.648139453146182,2.51771452630711,0.458755405836199
"Gm32018",0,0,0,0,0,0,0.479025820448933,0,1.87817520551347
"Gm32020",0,0,0,0,0,0,0.479025820448933,0,0
"Gm32022",0,0,0,0,0,0,0,0,0
"Gm32023",0,0,0,0,0,0,0,0,0
"Gm32024",1.38317756770223,0,7.37077489329157,0,0,0,2.9528984275441,4.79520686688316,3.51744274285006
"Gm32026",0,0,0,0,0,0,0.370222824764342,1.14609114411522,0
"Gm32027",0,3.7119748942716,0,0,0,39.2854370540528,6.22800756489247,5.0485071813871,2.82096257529644
"Gm32028",0,0,0,0,0,0,0,0,0.579093771530048
"Gm32029",0,0,0,0,0,0,0.479025820448933,0,0
"Gm32031",4.05909954253161,9.27988947526564,11.2827246103631,0,23.027655214254,21.4235989825259,35.4479107132211,34.7420725682183,55.4061685626475
"Gm32035",2.80285435568567,2.88705171222746,5.01631001591535,0,2.39551173284483,0,6.82790337431277,7.78156743056361,4.78482168784582
"Gm32038",1.7414260487236,0.601520559455118,1.03947942061475,0,1.1392350782498,1.13715127323667,6.23452746302902,6.03337683474812,3.71559005252383
"Gm32039",0,1.54040233891696,0,0,0,0,14.0197656570068,10.6186261854216,15.0920975375573
"Gm32041",0,1.39198342128985,0,0,0,32.1353984737889,2.39512910224467,1.07669171423725,1.0299150159267
"Gm32045",0,0,0,0,0,0,1.45401462420187,3.05875670642235,0
"Gm32046",0,0,0,0,0,0,0,0,0.99917548921701
"Gm32050",0,0.929575382322607,1.61280339679224,0,0,0,2.96700397370612,4.15286023048315,5.70950117408136
"Gm32051",0,0.654614301956878,1.47316239734358,0,0,0,0.585022819613606,3.05767729134856,2.27105379160476
"Gm32052",0,0,0,0,0,0,0,0,0
