"","csde_values.average_csde","input_values.average_input"
"CIDEA",4.16784169274218,9.19333281978682
"CIDEB",4.36543449824156,7.97388310903732
"CIDEC",0,0.489126785456146
"CIITA",45.876379320697,80.286367879133
"CILP",5.87751582252778,6.29417713280885
"CILP2",294.30942898524,122.44246721554
"CINP",194.728193114985,335.138987475884
"CIPC",1036.16663823613,931.472747086607
"CIR1",69.8282180623057,141.592563773329
"CIRBP",1164.30083203349,1643.23619277752
"CISD1",694.249213715452,473.912309875058
"CISD2",161.47074343611,569.17339410434
"CISD3",41.6212709781446,60.1740270857752
"CISH",275.938895055505,201.919023114922
"CIT",1202.07485479351,482.858106509315
"CITED1",19.1836078101078,7.29421792219216
"CITED2",416.80723302401,508.694829388281
"CITED4",11.535197264865,5.1727712587613
"CIZ1",716.959702968524,520.425564220044
"CJ186046Rik",16.2813742966828,53.61264392296
"CKAP2",73.5470735164497,90.4946685463812
"CKAP2L",94.3488174145646,124.57166016829
"CKAP4",3204.68725010592,922.180845467949
"CKAP5",2191.61195102724,1694.15163242586
"CKB",4772.94771525281,1868.37632852078
"CKLF",59.9298902702476,61.3965647448837
"CKM",1.47438100705882,1.81855428145434
"CKMT1A/CKMT1B",355.221573384052,154.789987475374
"CKMT2",0.534828862120121,1.19648025788745
"CKS1B",162.779022721922,127.895049202567
"Cks1brt",3.28968623570826,9.7553963941964
"CKS2",19.1808368270429,77.4145771472335
"CLASP1",5203.0437914017,3314.38288228209
"CLASP2",5580.90525357795,6095.40435772668
"Clasrp",351.364023887631,427.995586822503
"CLCA1",0,0
"CLCA2",1.08783561091346,2.69699830982805
"Clca3a1/Clca3a2",28.5486252976881,83.6599106973086
"Clca3b",0,0
"CLCA4",0.987305070124895,0.311408596236672
"Clca4c-ps",0.31720910814252,3.14641839886177
"CLCC1",252.720630016238,250.665617966084
"CLCF1",2.59420096557911,6.74685033355999
"Clcf1-pold4",6.75202242720165,1.04536430311576
"CLCN1",91.1424546228184,266.983354735176
"CLCN2",502.977955113128,455.087503938541
"CLCN3",5064.25701138762,2855.14489467051
"CLCN4",8866.56450955189,4106.62563972342
"CLCN5",757.941958707966,550.145829189388
"CLCN6",5993.13231782124,2370.4867568075
"CLCN7",1211.7289719305,565.290825315415
"CLCNKA",1.45687902327695,0.330264289554056
"CLCNKB",2.60255740812258,0.96694847905007
"CLDN1",73.7208862123991,116.935852663301
"CLDN10",13.4512777707945,14.2920523658937
"CLDN11",83.2275340033955,57.4390859319711
"CLDN12",345.713235010791,362.136621553106
"Cldn13",0,0
"CLDN14",0,0.538644521978624
"CLDN15",4.45607935730834,14.4628505114645
"CLDN16",0,0
"CLDN17",0,0
"CLDN18",0.622729023389958,0.318623040720982
"CLDN19",30.0991317453795,22.8782570413245
"CLDN2",48.0312759729285,41.8757721160635
"CLDN20",9.7622471812513,13.8525954747443
"CLDN22",0.773324120823427,3.95529861448559
"CLDN23",41.5542150995351,15.6265286124662
"CLDN24",1.07454520310234,0.888640078239189
"CLDN3",177.035998514344,95.096410414941
"CLDN34",0,0
"Cldn34a",0,0
"Cldn34b2",0,0
"Cldn34b4",0,0
"Cldn34c1",73.7659249328101,192.1732671593
"Cldn34c4",0,0
"Cldn34d",0,0
"CLDN4",0,0.156514600459456
"CLDN5",2201.26516914621,850.432998419828
"CLDN6",4.9094965764591,2.83196539755965
"CLDN7",2.43948084726108,9.20549737289078
"CLDN8",0,0
"CLDN9",5.2964181392337,3.58366106316873
"CLDND1",662.234383619186,1095.3831126219
"CLDND2",1.94811294874355,6.2795386498573
"CLEC10A",2.28187229496197,9.67809854596619
"CLEC11A",28.3241722217502,90.6374710696862
"CLEC12A",0,2.32527824281042
"CLEC12B",1.36410271602357,3.30834960267135
"CLEC14A",109.454694972273,59.9223783058062
"CLEC16A",4974.60345099531,5174.10227270332
"CLEC18B",3.85048237393649,2.90480402831195
"CLEC1A",13.8797572073624,14.6935268922629
"CLEC1B",3.66348137895603,1.77428640711204
"CLEC2A",0,0
"Clec2d",60.2167438981201,106.724386695909
"Clec2e/Clec2h",21.9971448849812,78.8283107049119
"Clec2j",0,0
"CLEC2L",705.116323599218,333.5405294169
"CLEC3A",0.90202212056258,0.803376520271763
"CLEC3B",14.7082878392869,7.71361174920469
"CLEC4A",5.6174376568598,13.3959939993562
"Clec4a3",0.331522122312525,2.02295747305986
